overall_placement,team_name,gym,week,score,score_cum,rank_weekly,rank_weekly_within_gym,score_hex,score_cum_hex
7,Bringing Hexy Back,North Shore,4,17.2,71.2,12,3,3.44,3.44
13,Unprotected Sends,Surrey,4,17.2,65.4,13,3,3.44,3.44
14,Dinky Dynos,Surrey,4,17,61,14,4,3.4,3.4
29,Blood Sugar Hex Magik,Surrey,4,16.75,58.35,15,5,3.35,3.35
10,Bee Sharps,North Shore,4,16.4,66.8,16,4,3.28,3.28
12,Six Sides to Every Problem,Vancouver,4,16.4,64.4,17,8,3.28,3.28
9,Crimp My Ride,Vancouver,4,16.25,63,18,9,3.25,3.25
8,Fall Down Boy,Surrey,4,16.2,68,19,6,3.2399999999999998,3.2399999999999998
16,Cracks & Granite,North Shore,4,16.2,62.4,20,5,3.2399999999999998,3.2399999999999998
15,The Mango Pudding Express,Vancouver,4,15.8,57.2,21,10,3.16,3.16
28,Pinching For Our Lives,Vancouver,4,15.8,59,22,11,3.16,3.16
18,Crimping Your Style,Vancouver,4,15.4,59.4,23,12,3.08,3.08
31,One Hex Flex,Vancouver,4,15.2,69.67,24,13,3.04,3.04
19,Jugs Not Drugs,Vancouver,4,15,54.25,25,14,3,3
34,Baby Hands,Vancouver,4,14.67,53.42,26,15,2.934,2.934
20,The Chalk Monsters,North Shore,4,14.5,59.92,27,6,2.9,2.9
35,Whale Climb Lots,North Shore,4,14.25,51.5,28,7,2.85,2.85
21,Statistically Significant,Vancouver,4,14,53,29,16,2.8,2.8
33,The Styhedrals,Vancouver,4,13.67,52.92,30,17,2.734,2.734
22,Beta Late Than Never,Vancouver,4,13.25,52.83,31,18,2.65,2.65
25,The Rumble,Vancouver,4,12.75,48.15,32,19,2.55,2.55
26,Hive Got A Problem,Vancouver,4,12,46.35,33,20,2.4,2.4
37,Jurassic Plastic,Surrey,4,11.8,46.4,34,7,2.3600000000000003,2.3600000000000003
32,Bare Minimum,Vancouver,4,9.5,37.5,35,21,1.9,1.9
36,Rock Hard Rob,Surrey,4,9.2,47.3,36,8,1.8399999999999999,1.8399999999999999
30,Between the Chalks,Vancouver,4,3.3,32.97,37,22,0.6599999999999999,0.6599999999999999
38,Veloci-rock-tors,Vancouver,4,NA,34.8,NA,NA,NA,NA
39,"Vol, U & Me",Vancouver,4,NA,12.67,NA,NA,NA,NA
1,Bishi Bashi,Vancouver,5,22,113.35,1,1,4.4,4.4
2,"Gaston, Gastoff",Vancouver,5,22,111.45,2,2,4.4,4.4
3,hExcelsior!,Vancouver,5,20.5,104.42,3,3,4.1,4.1
4,Voldemort,Surrey,5,20.33,95.58,4,1,4.066,4.066
23,Aaron Iacovitti,North Shore,5,18.75,90.35,5,1,3.75,3.75
24,Soft Rock,Vancouver,5,18.75,89.25,6,4,3.75,3.75
5,Pumpkin Eaters,North Shore,5,18.4,91.2,7,2,3.6799999999999997,3.6799999999999997
11,Crux-odile Dundee,Surrey,5,18,86.75,8,2,3.6,3.6
13,Unprotected Sends,Surrey,5,18,83.4,9,3,3.6,3.6
8,Fall Down Boy,Surrey,5,17.2,85.2,10,4,3.44,3.44
10,Bee Sharps,North Shore,5,16.6,83.4,11,3,3.3200000000000003,3.3200000000000003
9,Crimp My Ride,Vancouver,5,16.5,79.5,12,5,3.3,3.3
15,The Mango Pudding Express,Vancouver,5,16.2,73.4,13,6,3.2399999999999998,3.2399999999999998
27,Our Beta is no-guchi,Vancouver,5,16,82.25,14,7,3.2,3.2
12,Six Sides to Every Problem,Vancouver,5,15.8,80.2,15,8,3.16,3.16
7,Bringing Hexy Back,North Shore,5,15.6,86.8,16,4,3.12,3.12
38,Veloci-rock-tors,Vancouver,5,15.25,50.05,17,9,3.05,3.05
14,Dinky Dynos,Surrey,5,15,76,18,5,3,3
16,Cracks & Granite,North Shore,5,14.6,77,19,5,2.92,2.92
28,Pinching For Our Lives,Vancouver,5,14.2,73.2,20,10,2.84,2.84
6,Jako,Vancouver,5,14,85.25,21,11,2.8,2.8
18,Crimping Your Style,Vancouver,5,14,73.4,22,12,2.8,2.8
29,Blood Sugar Hex Magik,Surrey,5,14,72.35,23,6,2.8,2.8
20,The Chalk Monsters,North Shore,5,13.75,73.67,24,6,2.75,2.75
37,Jurassic Plastic,Surrey,5,13.4,59.8,25,7,2.68,2.68
36,Rock Hard Rob,Surrey,5,13.2,60.5,26,8,2.6399999999999997,2.6399999999999997
33,The Styhedrals,Vancouver,5,13,65.92,27,13,2.6,2.6
21,Statistically Significant,Vancouver,5,12.2,65.2,28,14,2.44,2.44
25,The Rumble,Vancouver,5,12.2,60.35,29,15,2.44,2.44
17,Generic Bouldering Team Name,Vancouver,5,12,95.42,30,16,2.4,2.4
19,Jugs Not Drugs,Vancouver,5,12,66.25,31,17,2.4,2.4
22,Beta Late Than Never,Vancouver,5,11.5,64.33,32,18,2.3,2.3
26,Hive Got A Problem,Vancouver,5,11,57.35,33,19,2.2,2.2
34,Baby Hands,Vancouver,5,10.75,64.17,34,20,2.15,2.15
35,Whale Climb Lots,North Shore,5,10,61.5,35,7,2,2
32,Bare Minimum,Vancouver,5,9.2,46.7,36,21,1.8399999999999999,1.8399999999999999
30,Between the Chalks,Vancouver,5,6.33,39.3,37,22,1.266,1.266
31,One Hex Flex,Vancouver,5,NA,69.67,NA,NA,NA,NA
39,"Vol, U & Me",Vancouver,5,NA,12.67,NA,NA,NA,NA
1,Bishi Bashi,Vancouver,final,65.2,178.55,1,1,13.040000000000001,13.040000000000001
2,"Gaston, Gastoff",Vancouver,final,64.8,176.25,2,2,12.959999999999999,12.959999999999999
4,Voldemort,Surrey,final,61.5,157.07999999999998,3,1,12.3,12.3
3,hExcelsior!,Vancouver,final,61.34,165.76,4,3,12.268,12.268
5,Pumpkin Eaters,North Shore,final,59,150.2,5,1,11.8,11.8
9,Crimp My Ride,Vancouver,final,58,137.5,6,4,11.6,11.6
6,Jako,Vancouver,final,56.4,141.65,7,5,11.28,11.28
12,Six Sides to Every Problem,Vancouver,final,54.8,135,8,6,10.959999999999999,10.959999999999999
7,Bringing Hexy Back,North Shore,final,54,140.8,9,2,10.8,10.8
10,Bee Sharps,North Shore,final,54,137.4,10,3,10.8,10.8
8,Fall Down Boy,Surrey,final,53.6,138.8,11,2,10.72,10.72
14,Dinky Dynos,Surrey,final,53.6,129.6,12,3,10.72,10.72
15,The Mango Pudding Express,Vancouver,final,53.6,127,13,7,10.72,10.72
11,Crux-odile Dundee,Surrey,final,48.67,135.42000000000002,14,4,9.734,9.734
16,Cracks & Granite,North Shore,final,48,125,15,4,9.6,9.6
13,Unprotected Sends,Surrey,final,46.5,129.9,16,5,9.3,9.3
19,Jugs Not Drugs,Vancouver,final,42.67,108.92,17,8,8.534,8.534
18,Crimping Your Style,Vancouver,final,41.5,114.9,18,9,8.3,8.3
21,Statistically Significant,Vancouver,final,40.4,105.6,19,10,8.08,8.08
20,The Chalk Monsters,North Shore,final,33.33,107,20,5,6.6659999999999995,6.6659999999999995
30,Between the Chalks,Vancouver,final,33,72.3,21,11,6.6,6.6
25,The Rumble,Vancouver,final,28.8,89.15,22,12,5.76,5.76
26,Hive Got A Problem,Vancouver,final,28.8,86.15,23,13,5.76,5.76
22,Beta Late Than Never,Vancouver,final,28,92.33,24,14,5.6,5.6
17,Generic Bouldering Team Name,Vancouver,final,25.33,120.75,25,15,5.066,5.066
32,Bare Minimum,Vancouver,final,20.4,67.1,26,16,4.08,4.08
23,Aaron Iacovitti,North Shore,final,NA,90.35,NA,NA,NA,NA
24,Soft Rock,Vancouver,final,NA,89.25,NA,NA,NA,NA
27,Our Beta is no-guchi,Vancouver,final,NA,82.25,NA,NA,NA,NA
28,Pinching For Our Lives,Vancouver,final,NA,73.2,NA,NA,NA,NA
29,Blood Sugar Hex Magik,Surrey,final,NA,72.35,NA,NA,NA,NA
31,One Hex Flex,Vancouver,final,NA,69.67,NA,NA,NA,NA
33,The Styhedrals,Vancouver,final,NA,65.92,NA,NA,NA,NA
34,Baby Hands,Vancouver,final,NA,64.17,NA,NA,NA,NA
35,Whale Climb Lots,North Shore,final,NA,61.5,NA,NA,NA,NA
36,Rock Hard Rob,Surrey,final,NA,60.5,NA,NA,NA,NA
37,Jurassic Plastic,Surrey,final,NA,59.8,NA,NA,NA,NA
38,Veloci-rock-tors,Vancouver,final,NA,50.05,NA,NA,NA,NA
39,"Vol, U & Me",Vancouver,final,NA,12.67,NA,NA,NA,NA
